region,Hemisphere,seg_index,face,plot_order
Thalamus-9,L,383,lateral,1
Thalamus-7,L,379,lateral,2
Caudate-1,L,347,lateral,3
Caudate-3,L,351,lateral,4
Amygdala-1,L,345,lateral,5
Caudate-2,L,349,lateral,6
Caudate-4,L,353,lateral,7
Thalamus-6,L,377,lateral,8
Thalamus-5,L,375,lateral,9
Thalamus-2,L,369,lateral,10
Caudate-5,L,355,lateral,11
Caudate-6,L,357,lateral,12
Caudate-7,L,359,lateral,13
Putamen-2,L,363,lateral,14
Putamen-3,L,365,lateral,15
Putamen-3,L,365,medial,16
Putamen-2,L,363,medial,17
Pallidum-1,L,361,medial,18
Thalamus-1,L,367,medial,19
Thalamus-5,L,375,medial,20
Thalamus-6,L,377,medial,21
Thalamus-7,L,379,medial,22
Thalamus-8,L,381,medial,23
Thalamus-2,L,369,medial,24
Thalamus-4,L,373,medial,25
Caudate-5,L,355,medial,26
Amygdala-1,L,345,medial,27
Thalamus-9,L,383,medial,28
Caudate-3,L,351,medial,29
Caudate-4,L,353,medial,30
Caudate-6,L,357,medial,31
Caudate-7,L,359,medial,32
Caudate-1,L,347,medial,33
Caudate-2,L,349,medial,34
Thalamus-3,L,371,medial,35
Thalamus-9,R,384,lateral,36
Thalamus-7,R,380,lateral,37
Caudate-1,R,348,lateral,38
Caudate-3,R,352,lateral,39
Amygdala-1,R,346,lateral,40
Caudate-2,R,350,lateral,41
Caudate-4,R,354,lateral,42
Thalamus-6,R,378,lateral,43
Thalamus-5,R,376,lateral,44
Thalamus-2,R,370,lateral,45
Caudate-5,R,356,lateral,46
Caudate-6,R,358,lateral,47
Caudate-7,R,360,lateral,48
Putamen-2,R,364,lateral,49
Putamen-3,R,366,lateral,50
Putamen-3,R,366,medial,51
Putamen-2,R,364,medial,52
Pallidum-1,R,362,medial,53
Thalamus-1,R,368,medial,54
Thalamus-5,R,376,medial,55
Thalamus-6,R,378,medial,56
Thalamus-7,R,380,medial,57
Thalamus-8,R,382,medial,58
Thalamus-2,R,370,medial,59
Thalamus-4,R,374,medial,60
Caudate-5,R,356,medial,61
Amygdala-1,R,346,medial,62
Thalamus-9,R,384,medial,63
Caudate-3,R,352,medial,64
Caudate-4,R,354,medial,65
Caudate-6,R,358,medial,66
Caudate-7,R,360,medial,67
Caudate-1,R,348,medial,68
Caudate-2,R,350,medial,69
Thalamus-3,R,372,medial,70